date,open,high,low,close,volume
20230530,176.31,178.99,175.75,177.67,16109476
20230531,176.98,179.35,176.41,177.77,41118849
20230601,177.8,180.69,176.94,180.58,16744315
20230602,180.57,181.78,179.27,181.1,14527620
20230605,181.37,184.95,178.03,179.12,22541405
20230606,179.24,180.4,177.435,179.04,13901065
20230607,178.91,181.21,177.32,177.9,17864147
20230608,177.2,180.83,177.2,180.5,12260269
20230609,180.32,182.22,179.9,180.81,14590303
20230612,181.68,184.34,180.97,182.49,17193836
20230613,182.6,184.14,182.01,183.07,13375281
20230614,183.57,184.385,182.02,183.88,17077273
20230615,183.78,186.515,183.0,185.66,19835420
20230616,185.75,187.67,184.66,184.95,48766827
20230620,184.71,186.1,183.86,184.82,14977675
20230621,184.78,185.405,182.59,183.65,15266122
20230622,183.6,187.24,183.19,187.1,14841551
20230623,186.13,187.56,185.01,186.5,17221739
20230626,186.55,188.045,185.0,185.55,13413738
20230627,185.86,188.38,185.41,187.98,13491825
20230628,187.98,189.9,187.6,189.7,14014100
20230629,189.43,190.43,188.8,190.3,11291175
20230630,190.5,194.48,190.41,194.27,27843622
20230703,194.12,194.29,191.77,192.45,8266443
20230705,191.91,192.98,190.62,191.23,12263133
20230706,190.31,192.05,189.21,191.84,12985800
20230707,191.66,192.66,190.245,190.91,14236364
20230710,189.57,190.43,187.035,188.46,18452330
20230711,188.8,189.65,186.6,188.2,12573834
20230712,188.3,191.7,188.3,189.95,17458990
20230713,190.73,191.18,189.78,190.3,10891561
20230714,190.59,191.175,189.63,190.73,12493871
20230717,190.82,194.32,190.58,193.99,14948483
20230718,194.16,194.33,192.42,193.4,14053554
20230719,193.5,198.23,192.65,193.73,19991341
20230720,193.82,196.46,192.495,192.99,16451952
20230721,193.37,194.97,191.32,192.09,24776925
20230724,192.6,194.91,192.26,193.45,11805330
20230725,193.53,194.44,192.92,193.53,11795582
20230726,193.8,195.64,193.2,194.95,14863111
20230727,195.83,197.195,192.56,193.4,11591846
20230728,194.09,196.62,193.95,195.92,14964105
20230731,195.9,196.7,195.27,196.32,13364217
20230801,196.23,196.73,194.0,195.15,10405578
20230802,194.09,195.18,191.86,192.8,15933012
20230803,191.41,196.02,185.04,187.3,15993377
20230804,187.81,188.92,181.71,182.05,29891267
20230807,183.44,183.46,177.36,179.13,21485998
20230808,178.75,180.27,177.59,179.79,14808036
20230809,180.74,181.48,177.01,178.42,14465944
20230810,179.39,180.75,177.6,178.48,12405437
20230811,178.43,178.62,176.56,177.68,12589622
20230814,178.3,179.92,177.31,179.92,11046415
20230815,178.81,179.48,177.06,177.78,10488187
20230816,177.94,178.53,176.05,176.11,10380692
20230817,176.53,177.51,173.12,173.37,13876442
20230818,173.6,175.1,171.7,174.7,17979655
20230821,174.98,176.13,173.735,175.4,14834041
20230822,176.14,177.675,176.14,177.0,11018081
20230823,178.12,181.9,177.32,181.34,14587454
20230824,182.41,182.78,175.88,176.33,17733754
20230825,176.38,179.145,175.83,178.51,13676646
20230828,179.0,180.59,178.39,180.36,10752980
20230829,180.25,184.9,179.32,184.54,14281835
20230830,184.05,187.79,183.52,187.61,13877581
20230831,187.6,189.11,187.19,188.13,18696147
